Tanggal & Waktu,Judul Aktivitas / Agenda,Kategori,Prioritas,Status,Deskripsi / Detail Agenda
"2026-06-06 07:00 - 16:00","Hari Terakhir Kerja di PT. RAPI TRANSLOGISTIK INDONESIA","Pekerjaan","high","completed","Menyelesaikan hari terakhir kerja termasuk serah terima tugas"
"2026-06-06 12:00 - 16:00","Serah Terima Tugas Log GPS Monitoring","Pekerjaan","high","completed","Mengirimkan rekapan log GPS monitoring harian kepada kandidat baru"
"2026-06-06 18:00 - 20:00","Bowo (Kondangan) Pernikahan","Sosial","medium","completed","Hajatan pernikahan Mas Roby & Fira serta teman sekelas Rifa"
"2026-06-06 20:00 - 23:59","Ngopi Bersama Teman-Teman","Sosial","low","completed","Agenda santai ngopi bareng teman"
"2026-06-07 10:00 - 13:00","Pasang Router Wifi Rumah Om Ryno","Pekerjaan/Jasa","medium","completed","Memasang router wifi di rumah Om Ryno (dapat upah Rp 100rb)"
"2026-06-08 09:00 - 15:00","Ke Kampus TTD Pengesahan Magang","Akademik","urgent","completed","Meminta tanda tangan lembar pengesahan laporan akhir magang"
"2026-06-08 15:30 - 17:30","Presentasi Akhir Studi Independen Dicoding","Akademik","urgent","completed","Presentasi akhir program Dicoding x DBS Foundation"
"2026-06-09 09:00 - 15:00","Ke Kampus TTD Laporan Akhir (Lanjutan)","Akademik","urgent","completed","Melanjutkan proses tanda tangan pengesahan laporan akhir"
"2026-06-10 14:00 - 15:00","Bimbingan Skripsi Daring Dosen Pembimbing","Akademik","urgent","completed","Bimbingan skripsi online bersama Bu Regita"
"2026-06-10 21:00 - 23:00","Jalan-jalan ke Kodam","Hiburan","low","completed","Cari makan dan belanja celana di Pasar Kodam"
