Tanggal,Jam Mulai,Jam Selesai,Waktu Pengingat (Alarm),Judul Aktivitas / Agenda,Kategori,Prioritas,Status,Keterangan / Hasil
"06/06/2026","07:00","16:00","06:30 (30 mnt sebelum)","Menyelesaikan hari terakhir kerja di PT. RAPI TRANSLOGISTIK INDONESIA","Pekerjaan","High","Selesai","Hari terakhir bekerja di PT. RAPI"
"06/06/2026","12:00","16:00","11:30 (30 mnt sebelum)","Mengirimkan rekapan log GPS monitoring harian","Pekerjaan","High","Selesai","Serah terima tugas kepada kandidat baru"
"06/06/2026","16:00","16:00","15:45 (15 mnt sebelum)","Menerima transferan gaji terakhir","Pekerjaan","High","Selesai","Gaji masuk ke dompet non-tunai Rp 4.700.000"
"06/06/2026","18:00","20:00","17:00 (1 jam sebelum)","Pergi kondangan (bowo) ke hajatan pernikahan","Sosial","Medium","Selesai","Datang ke acara Mas Roby & Fira serta teman sekelas bernama Rifa"
"06/06/2026","20:00","23:59","19:30 (30 mnt sebelum)","Ngopi bersama teman-teman","Sosial","Low","Selesai","Bersantai di malam hari"
"07/06/2026","08:00","08:30","07:30 (30 mnt sebelum)","Melunasi cicilan terakhir","Keuangan","High","Selesai","Pembayaran dilakukan secara non-tunai Rp 317.160"
"07/06/2026","09:00","09:30","08:45 (15 mnt sebelum)","Mengambil uang tunai (transfer to cash)","Keuangan","Medium","Selesai","Tarik tunai Rp 200.000"
"07/06/2026","10:00","13:00","09:30 (30 mnt sebelum)","Pergi ke rumah Om Ryno","Pekerjaan/Jasa","Medium","Selesai","Memasang router wifi dan menerima upah jasa pasang Rp 100.000"
"07/06/2026","15:00","15:30","14:45 (15 mnt sebelum)","Membeli es teler di daerah Terung Kulon","Kuliner","Low","Selesai","Beli sebanyak 3 porsi"
"07/06/2026","19:00","20:00","18:30 (30 mnt sebelum)","Pergi kondangan (bowo) susulan","Sosial","Medium","Selesai","Ke rumah Safira (jam 19:00) dan rumah Rifa (jam 20:00)"
"07/06/2026","21:00","21:30","20:45 (15 mnt sebelum)","Berbelanja online","Belanja","Low","Selesai","Belanja kebutuhan di Shopee"
"08/06/2026","09:00","15:00","08:00 (1 jam sebelum)","Pergi ke Kampus","Akademik","Urgent","Selesai","Meminta tanda tangan lembar pengesahan laporan akhir magang"
"08/06/2026","12:00","13:00","11:30 (30 mnt sebelum)","Memperbaiki handphone","Servis","High","Selesai","Servis HP di konter"
"08/06/2026","15:30","17:30","15:00 (30 mnt sebelum)","Mengikuti presentasi akhir Studi Independen Dicoding","Akademik","Urgent","Selesai","Presentasi program Dicoding x DBS Foundation secara daring"
"09/06/2026","09:00","15:00","08:00 (1 jam sebelum)","Pergi ke Kampus (Hari ke-2)","Akademik","Urgent","Selesai","Melanjutkan proses tanda tangan lembar pengesahan laporan magang"
"09/06/2026","16:10","17:00","15:40 (30 mnt sebelum)","Pergi ke bengkel motor","Otomotif","High","Selesai","Melakukan penggantian ban belakang motor PCX"
"10/06/2026","14:00","15:00","13:30 (30 mnt sebelum)","Mengikuti bimbingan skripsi","Akademik","Urgent","Selesai","Bimbingan dilakukan secara daring bersama Dosen Pembimbing Bu Regita"
"10/06/2026","15:08","15:30","14:50 (18 mnt sebelum)","Pergi mengisi angin ban motor","Otomotif","Low","Selesai","Pengisian nitrogen untuk ban belakang PCX"
"10/06/2026","21:00","23:00","20:30 (30 mnt sebelum)","Jalan-jalan santai malam hari","Hiburan","Low","Selesai","Pergi ke Kodam untuk mencari makan dan membeli celana"
"14/06/2026","10:24","12:00","09:54 (30 mnt sebelum)","Beli PC di Surabaya dari Mas Dony","Elektronik","High","Selesai","Beli PC server/workstation di Surabaya"
"14/06/2026","15:45","18:00","15:15 (30 mnt sebelum)","Mancing di Sumber Rejeki 2","Rekreasi","Low","Selesai","Mancing dan bakar ikan bersama teman"
"14/06/2026","18:45","20:00","18:15 (30 mnt sebelum)","Bowo di Nadhif","Sosial","Medium","Selesai","Datang hajatan kondangan bowo di Nadhif"
"16/06/2026","13:44","14:30","13:14 (30 mnt sebelum)","Beli Kuas PC & Parkir Mr DIY","Kebutuhan","Low","Selesai","Belanja perlengkapan pembersih PC di Mr DIY"
"17/06/2026","13:49","14:30","13:19 (30 mnt sebelum)","Bayar Pajak Motor Tahunan PCX","Pajak/Otomotif","Urgent","Selesai","Pengurusan pembayaran pajak tahunan motor PCX"
