Tanggal & Jam,Tipe Transaksi,Nominal (Rp),Merchant / Pihak,Kategori,Metode Pembayaran,Deskripsi / Catatan,Tag / Label
"2026-06-01 00:01","Pemasukan","44461","Saldo Awal","Tabungan/Transfer","Non-Tunai","Saldo awal non-tunai","saldo-awal"
"2026-06-01 00:01","Pemasukan","20000","Saldo Awal","Tabungan/Transfer","Cash","Saldo awal kas tunai","saldo-awal"
"2026-06-06 16:00","Pemasukan","4700000","PT. RAPI TRANSLOGISTIK INDONESIA","Gaji","BCA (Non-Tunai)","Gaji terakhir serah terima tugas log GPS","gaji, rti"
"2026-06-06 16:00","Pengeluaran","10000","BCA","Tagihan/Biaya Admin","BCA (Non-Tunai)","Biaya admin BCA masukan gaji","admin-bank"
"2026-06-07 08:00","Pengeluaran","317160","Cicilan","Tagihan/Hutang","Non-Tunai","Pembayaran cicilan terakhir lunas","cicilan, lunas"
"2026-06-07 09:00","Transfer","200000","Transfer Kas","Transfer","Non-Tunai ke Cash","Penarikan uang tunai dari non-tunai","transfer-cash"
"2026-06-07 12:00","Pemasukan","100000","Om Ryno","Jasa/Serabutan","Cash","Upah jasa pasang router wifi di rumah Om Ryno","freelance"
"2026-06-07 12:00","Pengeluaran","400000","Teman","Lain-lain","Non-Tunai","Mengganti uang beli kue di teman","ganti-uang"
"2026-06-07 15:00","Pengeluaran","33000","Terung Kulon","Makanan & Minuman","Cash","Membeli 3 porsi es teler","kuliner"
"2026-06-07 18:00","Pengeluaran","2500","Bank","Tagihan/Biaya Admin","Non-Tunai","Biaya admin bank","admin-bank"
"2026-06-07 19:00","Pengeluaran","49000","Indomaret","Kebutuhan Pribadi","Cash","Beli parfum Xchange","parfum"
"2026-06-07 19:00","Pengeluaran","50000","Safira","Sosial/Sumbangan","Cash","Bowo / kondangan ke rumah Safira","bowo, hajatan"
"2026-06-07 20:00","Pengeluaran","50000","Rifa","Sosial/Sumbangan","Cash","Bowo / kondangan ke rumah Rifa","bowo, hajatan"
"2026-06-07 21:00","Pengeluaran","16040","Shopee","Belanja Online","Non-Tunai","Belanja barang di Shopee","shopee"
"2026-06-07 21:00","Pemasukan","42000","Serabutan","Jasa/Serabutan","Cash","Pemasukan tunai dari upah serabutan","freelance"
"2026-06-08 06:00","Transfer","20000","Dana Nindya","Transfer","Non-Tunai ke Cash","Transfer non-tunai ke Dana Nindya (jadi cash)","transfer-cash"
"2026-06-08 07:00","Transfer","60000","Dana Nindya","Transfer","Non-Tunai ke Cash","Transfer non-tunai ke Dana Nindya (jadi cash)","transfer-cash"
"2026-06-08 10:00","Pengeluaran","54500","Toko/Apotek","Kebutuhan Pribadi","Cash","Membeli sabun muka & vitamin C","skincare, kesehatan"
"2026-06-08 12:00","Pengeluaran","50000","Servis HP","Elektronik/Servis","Cash","Servis HP (part cash Rp 50rb)","servis-hp"
"2026-06-08 12:00","Pengeluaran","150000","Servis HP","Elektronik/Servis","Non-Tunai","Servis HP (part non-tunai Rp 150rb)","servis-hp"
"2026-06-08 12:06","Pengeluaran","60000","SPBU Kletek Sidoarjo","Transportasi","Cash","Beli bensin di Kletek, Sidoarjo","bensin"
"2026-06-08 13:00","Pengeluaran","247600","Shopee","Elektronik/Gadget","Non-Tunai","Pembelian TWS Mithril ANC TX4","tws, gadget"
"2026-06-08 14:01","Pengeluaran","5000","Foto Copy / Print","Pendidikan/Kuliah","Cash","Print 9 lembar laporan akhir magang","print, magang"
"2026-06-08 14:09","Pengeluaran","5000","Kopma Kampus","Makanan & Minuman","Cash","Membeli teh kotak di Kopma","minuman"
"2026-06-08 15:35","Pengeluaran","26000","Tomoro Ketintang","Makanan & Minuman","Non-Tunai","Beli Tomoro Ketintang saat presentasi Dicoding","kopi"
"2026-06-08 16:00","Pengeluaran","5500","Warung/Toko","Makanan & Minuman","Cash","Membeli es (baru)","minuman"
"2026-06-08 16:15","Pengeluaran","55000","Toko Elektronik","Elektronik/Gadget","Non-Tunai","Membeli kabel charger (baru)","charger"
"2026-06-09 14:01","Pengeluaran","19000","Indomaret","Makanan & Minuman","Cash","Beli roti Indomaret & Ultramilk coklat","snack"
"2026-06-09 16:10","Pengeluaran","425000","Bengkel Motor","Otomotif/Servis","Non-Tunai","Penggantian ban belakang motor PCX","pcx, bengkel"
"2026-06-10 14:20","Pengeluaran","19000","Indomaret","Makanan & Minuman","Cash","Beli roti Indomaret double cheese & Ultra Milk coklat","snack"
"2026-06-10 15:08","Pengeluaran","5000","Bongkar Ban / SPBU","Otomotif/Servis","Cash","Pengisian nitrogen ban belakang motor PCX","nitrogen, pcx"
"2026-06-10 21:01","Pengeluaran","120000","Kodam","Pakaian/Fashion","Non-Tunai","Belanja celana panjang di Kodam","fashion, kodam"
"2026-06-10 21:09","Pengeluaran","100000","Kodam","Pakaian/Fashion","Non-Tunai","Belanja celana pendek di Kodam","fashion, kodam"
"2026-06-10 21:10","Pengeluaran","18000","Kodam","Makanan & Minuman","Non-Tunai","Membeli lumpia beef spesial di Kodam","kuliner, kodam"
"2026-06-11 14:37","Pengeluaran","8500","Toko/Minimarket","Makanan & Minuman","Cash","Membeli Nescafe oat latte","kopi"
"2026-06-11 17:01","Pengeluaran","4500","Toko/Minimarket","Makanan & Minuman","Cash","Membeli kopi ABC choco malt","kopi"
"2025-06-12 12:00","Pengeluaran","32000","Jastip Makanan","Jastip / Makanan","Tidak dicantumkan","Jastip Geprek Cindo + Air Putih (13k), Hilo Avocado (5k), Capcin (6k), Jus Wortel (8k)","jastip, kuliner"
"2025-06-24 12:00","Hutang/Piutang","375000","Catatan Hutang","Hutang","Tidak dicantumkan","Catatan Hutang Rincian: Rp 50.000 + Rp 225.000 + Rp 100.000","hutang"
"2025-06-27 12:00","Hutang/Piutang","750000","Catatan Hutang","Hutang","Tidak dicantumkan","Catatan Hutang Rincian: Rp 50.000 + Rp 700.000","hutang"
"2025-06-28 12:00","Hutang/Piutang","915000","Catatan Hutang","Hutang","Tidak dicantumkan","Catatan Hutang Rincian: Rp 50.000 + Rp 700.000 + Rp 165.000","hutang"
"2025-06-29 12:00","Hutang/Piutang","1115000","Catatan Hutang","Hutang","Tidak dicantumkan","Catatan Hutang Rincian: Rp 50.000 + Rp 700.000 + Rp 165.000 + Rp 200.000","hutang"
"2025-06-30 12:00","Pemasukan","1362748","Cingciripit","Rekap / Hasil Akhir","Tidak dicantumkan","Cingciripit hasil akhir saldo","rekap, cingciripit"
"2025-06-30 12:00","Hutang/Piutang","1217000","Catatan Hutang","Hutang","Tidak dicantumkan","Catatan Hutang Rincian: Rp 50k + Rp 700k + Rp 165k + Rp 200k + Rp 102k","hutang"
"2025-07-02 12:00","Hutang/Piutang","1017000","Catatan Hutang","Hutang","Tidak dicantumkan","Catatan Hutang Rincian: Rp 50k + Rp 700k + Rp 165k + Rp 102k","hutang"
"2025-07-04 12:00","Hutang/Piutang","617000","Catatan Hutang","Hutang","Tidak dicantumkan","Catatan Hutang Rincian: Rp 50k + Rp 300k + Rp 165k + Rp 102k","hutang"
"2025-07-04 12:00","Hutang/Piutang","642000","Catatan Hutang","Hutang","Tidak dicantumkan","Catatan Hutang Rincian: Rp 50k + Rp 300k + Rp 165k + Rp 102k + Rp 25k","hutang"
"2025-07-07 12:00","Hutang/Piutang","961000","Catatan Hutang","Hutang","Tidak dicantumkan","Catatan Hutang Rincian: Rp 50k + Rp 300k + Rp 165k + Rp 102k + Rp 344k","hutang"
"2025-07-12 12:00","Hutang/Piutang","1243000","Catatan Hutang","Hutang","Tidak dicantumkan","Catatan Hutang Rincian: Rp 50k + Rp 300k + Rp 165k + Rp 102k + Rp 344k + Rp 282k","hutang"
"2025-07-20 12:00","Hutang/Piutang","943000","Catatan Hutang","Hutang","Tidak dicantumkan","Catatan Hutang Rincian: Rp 50k + Rp 165k + Rp 102k + Rp 344k + Rp 282k","hutang"
"2025-07-22 12:00","Hutang/Piutang","978000","Catatan Hutang","Hutang","Tidak dicantumkan","Catatan Hutang Rincian: Rp 50k + Rp 102k + Rp 344k + Rp 282k + Rp 200k","hutang"
"2026-06-19 12:00","Pengeluaran","22000","KAI (Kereta Api)","Makanan & Minuman","Tidak dicantumkan","Kopi hitam dan mineral 1 di KAI","kai, kopi"
